,Feature,MDI
0,price,0.1340979357118317
1,description,0.12960233771323248
2,amenities,0.1151982993567818
3,neighborhood_overview,0.08747022593219629
4,host_about,0.07667478704667266
5,host_is_superhost_TRUE,0.06440652827395281
6,host_verifications,0.060174800312393674
7,host_acceptance_rate,0.05880708304070152
8,maximum_nights,0.05485104532363207
9,minimum_nights,0.04911674556965957
10,beds,0.04162799672833005
11,bedrooms,0.029863505643819087
12,host_response_rate,0.02921230340986273
13,bathrooms_text,0.028793802880172963
14,host_response_time,0.016136037702961473
15,room_type,0.013435986209903245
16,instant_bookable_TRUE,0.009375315011853203
17,host_has_profile_pic_TRUE,0.0011552641320426405
